year,number,song,artist,semanas
2012,3,Rayos De Sol,Jose de Rico feat. Henry Mendez,"49 Semanas en lista
1x"
2012,4,Te He Echado de Menos,Pablo Alborán,"44 Semanas en lista
1x"
2012,5,Te Voy a Esperar,Juan Magan & Belinda,"21 Semanas en lista
1x"
2012,6,Somebody That I Used To Know (feat Kimbra),Gotye,"45 Semanas en lista
1x"
2012,7,Tacata,Tacabro,"34 Semanas en lista
1x"
2012,8,Perdoname con Carminho,Pablo Alborán,"62 Semanas en lista
1x"
2012,9,Euphoria,LOREEN,"32 Semanas en lista
1x"
2012,10,No Hay 2 Sin 3 (Gol),Cali y El Dandee feat. David Bisbal,"24 Semanas en lista
1x"
2012,11,Dance Again,Jennifer Lopez feat Pitbull,"37 Semanas en lista
1x"
2012,12,Someone like you,Adele,"67 Semanas en lista
1x"
2012,13,Gangnam Style,PSY,"16 Semanas en lista
1x"
2012,14,Boys Will Be Boys,Paulina Rubio,"28 Semanas en lista
1x"
2012,15,Tanto,Pablo Alborán,"16 Semanas en lista
1x"
2012,16,Call Me Maybe,Carly Rae Jepsen,"33 Semanas en lista
1x"
2012,17,No Sigue Modas,Juan Magan,"42 Semanas en lista
1x"
2012,18,Titanium,David Guetta / Sia,"53 Semanas en lista
1x"
2012,19,We found love (feat Calvin Harris),Rihanna feat Calvin Harris,"43 Semanas en lista
1x"
2012,20,No Me Compares,Alejandro Sanz,"26 Semanas en lista
1x"
2012,21,Sexy And I Know It,LMFAO,"45 Semanas en lista
1x"
2012,22,Se Vuelve Loca,Juan Magan,"25 Semanas en lista
1x"
2012,23,Bailando Por Ahí (feat Crossfire),Juan Magan,"68 Semanas en lista
1x"
2012,24,Me pones tierno,Rasel y Carlos Baute,"27 Semanas en lista
1x"
2012,25,Rolling in the Deep,Adele,"75 Semanas en lista
1x"
2012,26,International Love,Pitbull / Chris Brown,"33 Semanas en lista
1x"
2012,27,Give Me All Your Luvin` (feat Nicki Minaj & M.I.A.),Madonna feat Nicki Minaj & M.I.A.,18 Semanas en lista
2012,28,Balada (Tche Tcherere Tche Tche) - Tacabro Remix,Gusttavo Lima,30 Semanas en lista
2012,29,Solamente Tu,Pablo Alborán,"97 Semanas en lista
2x"
2012,30,We are young,Fun featuring Janelle Monae,33 Semanas en lista
2012,31,Diamonds,Rihanna,14 Semanas en lista
2012,32,Vencer al amor,India Martinez,"39 Semanas en lista
1x"
2012,33,Moves Like Jagger (Christina Aguilera),Maroon 5 feat Christina Aguilera,"39 Semanas en lista
1x"
2012,34,What Doesn`t Kill You (Stronger),Kelly Clarkson,27 Semanas en lista
2012,35,Quedate conmigo (Eurovisión),Pastora Soler,26 Semanas en lista
2012,36,Payphone (feat Wiz Khalifa),Maroon 5 feat Wiz Khalifa,27 Semanas en lista
2012,37,Whistle,Flo Rida,26 Semanas en lista
2012,38,Danza Kuduro,DON OMAR / LUCENZO,"97 Semanas en lista
2x"
2012,39,Rain Over Me (feat Marc Anthony),Pitbull / Marc Anthony,"42 Semanas en lista
1x"
2012,40,Drive By,Train,22 Semanas en lista
2012,41,Got 2 luv U,Sean Paul featuring Alexis Jordan,"35 Semanas en lista
1x"
2012,42,Set Fire to the Rain,Adele,38 Semanas en lista
2012,43,Noche De Estrellas,Jose De Rico & Henry Mendez feat. Jay Santos,24 Semanas en lista
2012,44,Estoy Hecho De Pedacitos De Ti,Antonio Orozco & Alejandro Fernandez,19 Semanas en lista
2012,45,Without you (feat Usher),David Guetta,36 Semanas en lista
2012,46,Te Pintaron Pajaritos,Yandar & Yostin Ft Andy Rivera,12 Semanas en lista
2012,47,Where have you been,Rihanna,23 Semanas en lista
2012,48,Addicted To You,SHAKIRA,23 Semanas en lista
2012,49,I WILL ALWAYS LOVE YOU,Whitney Houston,17 Semanas en lista
2012,50,She doesn`t mind,Sean Paul,21 Semanas en lista
2013,1,Cero,Dani Martín,"30 Semanas en lista
1x"
2013,2,Get Lucky (Daft Punk Remix),Daft Punk Feat Pharrell Williams,"34 Semanas en lista
1x"
2013,3,Te Pintaron Pajaritos,Yandar & Yostin Ft Andy Rivera,"50 Semanas en lista
1x"
2013,4,Blurred Lines (explicit),Robin Thicke feat T.I. & Pharrell,"30 Semanas en lista
1x"
2013,5,Wake Me Up (radio edit),Avicii,"26 Semanas en lista
1x"
2013,6,Let Her Go,Passenger,"38 Semanas en lista
1x"
2013,7,Gangnam Style,PSY,"46 Semanas en lista
1x"
2013,8,No Digas Nada (Déjà vu),Cali Y El Dandee,"35 Semanas en lista
1x"
2013,9,Scream & Shout,Will.i.am feat Britney Spears,"41 Semanas en lista
1x"
2013,10,Impossible,James Arthur,"42 Semanas en lista
1x"
2013,11,Vivir mi vida,Marc Anthony,"35 Semanas en lista
1x"
2013,12,Try,P!nk,"41 Semanas en lista
1x"
2013,13,Feel This Moment,Pitbull featuring Christina Aguilera,"33 Semanas en lista
1x"
2013,14,Locked Out Of heaven,Bruno Mars,"46 Semanas en lista
1x"
2013,15,Mal De Amores,Juan Magan,"32 Semanas en lista
1x"
2013,16,Diamonds,Rihanna,"47 Semanas en lista
1x"
2013,17,Quién,Pablo Alborán,"34 Semanas en lista
1x"
2013,18,Ho Hey,The Lumineers,"33 Semanas en lista
1x"
2013,19,Just Give me a Reason,P!nk,34 Semanas en lista
2013,20,Vuelvo a Verte,Malú con Pablo Alborán,"42 Semanas en lista
1x"
2013,21,Lágrimas desordenadas,Melendi,"45 Semanas en lista
1x"
2013,22,Stay,Rihanna feat Mikky Ekko,34 Semanas en lista
2013,23,Señorita,Abraham Mateo,36 Semanas en lista
2013,24,Mi Reina,Henry Mendez,34 Semanas en lista
2013,25,El Beso,Pablo Alborán,23 Semanas en lista
2013,26,Live Your Life,Mika,17 Semanas en lista
2013,27,Tanto,Pablo Alborán,"42 Semanas en lista
1x"
2013,28,I love it,ICONA POP,30 Semanas en lista
